ID;Q003;Q004;Q005;Q006;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q018;Q019;Q020;Q021;Q022;Q023;Q024;peso
48;1;4;4;3;1;5;2;2;1;1;5;5;2;4;1;1;;2;3;2;1,04
49;1;6;4;5;2;9;17;2;1;2;3;3;4;2;2;7;2;3;4;1;0,74
50;1;6;2;5;2;6;17;4;1;1;1;8;3;2;2;7;2;3;4;3;0,29
51;2;6;2;2;1;6;17;5;1;2;2;6;1;2;2;7;2;1;4;2;0,5
52;2;5;5;3;1;6;2;1;1;1;4;5;3;2;1;1;;2;4;2;0,78
53;2;4;4;3;1;5;10;4;1;1;3;6;3;2;1;2;2;2;3;2;2,23
54;1;5;4;4;1;5;10;1;1;1;1;3;3;3;1;2;1;2;4;1;0,8
55;2;3;1;2;2;7;10;5;1;1;2;8;1;3;1;2;2;3;3;3;0,21
56;1;4;3;4;1;7;12;6;1;1;1;8;3;5;1;3;2;2;3;3;0,68
57;1;5;3;3;2;5;5;3;1;1;2;3;2;3;1;1;;3;4;1;0,48
58;2;5;3;3;2;5;9;4;1;3;2;6;5;2;1;2;2;3;4;2;0,23
59;2;4;5;4;1;5;16;4;1;1;1;3;3;4;2;6;;2;3;1;0,41
60;2;3;2;2;1;5;10;6;1;1;2;10;1;2;1;2;2;2;2;;1,3
61;1;3;5;4;2;6;10;1;1;2;2;7;2;2;1;2;2;3;2;2;1,3
62;1;4;5;4;1;6;10;4;1;1;2;7;5;2;1;2;2;2;3;2;0,91
63;1;3;4;3;1;5;10;6;1;1;1;3;3;4;1;2;1;2;3;1;3,04
64;1;4;2;5;2;5;9;6;1;2;4;6;4;1;1;2;2;3;3;2;0,8
65;1;4;5;6;2;6;9;6;1;3;5;8;4;3;1;2;2;3;3;3;1,33
66;1;6;5;5;1;6;17;5;1;1;1;6;4;2;2;7;1;2;4;2;0,44
67;1;5;3;1;1;7;12;2;1;1;3;7;1;3;1;3;1;1;4;2;1,5
68;1;6;1;3;2;6;17;4;1;1;2;7;2;2;2;7;2;3;5;2;0,26
69;2;2;2;5;2;5;5;4;1;3;2;8;4;3;1;1;;3;2;3;0,12
70;2;3;3;4;1;5;16;7;1;1;1;7;3;3;2;6;;1;2;2;1,88
71;1;4;4;6;1;5;7;4;1;1;1;5;3;3;1;2;1;2;3;2;0,59
72;2;5;2;3;1;6;16;4;1;1;1;6;3;2;2;6;;1;4;2;0,73
73;1;4;2;2;1;5;9;2;1;2;2;5;1;2;1;2;2;2;3;2;1,17
74;2;6;5;3;1;6;17;2;1;1;4;5;3;2;2;7;2;2;4;2;1,41
75;1;6;2;1;1;6;17;4;1;1;2;7;1;2;2;7;1;1;5;2;0,84
76;2;6;5;4;1;7;17;7;1;3;5;5;3;3;2;7;1;2;5;2;1,1
77;1;6;2;3;2;5;17;4;1;2;1;6;2;2;2;7;1;3;4;2;0,29
78;1;4;2;5;1;5;9;2;1;1;3;3;3;2;1;2;2;2;3;1;0,91
79;1;2;4;3;2;1;5;5;1;1;2;7;3;2;1;1;;3;2;2;0,35
80;1;5;4;3;1;9;10;5;1;1;2;6;2;2;1;2;2;2;4;2;0,8
81;1;6;1;6;1;5;17;4;1;1;2;8;3;3;2;7;2;2;4;3;0,75
82;1;6;3;4;1;6;17;2;1;1;2;3;2;2;2;7;2;2;5;1;1,9
83;1;4;3;4;1;5;12;3;1;3;1;3;5;2;1;3;2;1;3;1;0,49
84;1;6;2;4;1;6;17;2;1;2;4;5;3;3;2;7;2;1;5;2;1,79
85;1;4;3;6;2;5;10;3;1;2;4;5;3;3;1;2;1;3;3;2;0,25
86;2;6;1;2;1;5;17;2;1;2;2;6;1;2;2;7;2;2;5;2;1,4
87;2;5;2;3;1;5;17;4;1;1;1;7;3;2;2;7;2;2;4;2;0,73
88;1;5;4;4;2;5;6;1;1;2;3;4;3;2;1;2;2;3;4;1;0,59
89;1;4;5;6;1;5;3;1;1;1;5;5;4;3;1;1;;2;3;2;3,84
90;1;3;2;2;1;5;11;6;1;3;4;7;1;3;1;2;1;2;3;2;0,72
91;1;6;1;4;1;6;17;2;1;1;3;2;3;2;2;7;2;2;4;1;1,59
92;2;6;5;4;1;6;20;4;1;1;1;7;2;4;2;4;;2;4;2;0,43
93;2;6;1;4;1;6;17;3;1;1;3;6;3;4;2;7;1;1;5;2;0,66
94;1;5;4;1;1;5;1;6;1;1;2;8;1;4;1;1;;2;4;3;0,76
95;1;6;3;5;1;6;17;5;1;1;3;6;4;3;2;7;2;2;4;2;1,75
96;1;6;1;6;1;5;17;5;1;1;1;8;4;3;2;7;2;1;5;3;1,59
97;1;6;4;4;1;6;17;1;1;1;1;6;5;3;2;7;2;2;4;2;1,81
98;1;5;4;4;2;5;13;1;1;1;3;3;5;3;1;1;;3;4;1;0,46
99;2;5;2;2;1;6;10;4;1;1;1;8;1;2;1;2;1;2;4;3;0,73
100;2;2;3;3;1;1;10;6;1;3;5;8;2;3;1;2;2;2;2;3;0,38
101;1;2;3;3;2;6;7;4;1;1;2;8;2;2;1;2;1;3;2;3;0,25
102;2;2;1;3;1;5;16;4;1;1;1;7;3;4;2;6;;2;2;2;0,66
103;1;6;1;6;1;6;17;7;1;2;3;10;4;2;2;7;2;2;4;;3,13
104;1;3;2;3;2;6;5;4;1;1;2;9;3;2;1;1;;3;2;4;0,36
105;1;2;3;4;2;1;1;6;1;3;1;7;3;2;1;1;;3;2;2;0,24
106;2;6;3;5;1;5;17;4;1;1;2;7;4;2;2;7;1;2;4;2;0,66
107;2;4;4;4;1;5;10;6;3;3;3;5;5;3;1;2;2;2;3;2;0,5
108;2;6;1;6;1;6;17;3;1;1;4;3;4;2;2;7;2;2;5;1;1,4
109;1;5;2;2;1;6;17;6;1;1;1;7;1;2;2;7;2;1;4;2;4,57
110;2;6;3;6;1;6;17;3;1;1;5;7;3;2;2;7;1;2;4;2;0,66
111;2;6;2;5;1;3;17;5;1;3;2;7;3;4;2;7;2;2;5;2;0,5
112;1;3;3;6;2;5;9;5;1;1;2;4;3;3;1;2;2;3;3;1;0,66
113;1;5;2;3;1;5;17;6;1;1;5;6;2;2;2;7;2;1;4;2;1,03
114;2;3;3;4;1;5;18;5;1;1;2;6;2;3;2;4;2;2;3;2;0,42
115;2;6;4;4;2;6;17;1;1;3;5;10;5;3;2;7;1;3;4;;0,18
116;1;2;3;4;2;6;11;2;1;1;2;5;5;2;1;2;1;3;2;2;1,04
117;2;6;5;6;1;5;10;2;1;1;1;5;4;3;1;2;2;2;4;2;2,77
118;2;5;5;2;1;7;17;6;1;3;2;5;5;3;2;7;2;1;4;2;1,98
119;2;4;5;3;1;2;18;1;1;3;5;6;5;4;2;4;2;2;3;2;1,83
120;1;6;1;1;2;3;5;6;1;1;2;7;1;3;1;1;;3;4;2;1,09
121;1;5;1;6;2;6;9;2;1;2;4;3;4;2;1;2;2;3;4;1;0,52
122;2;3;4;4;2;5;7;7;1;1;2;3;3;3;1;2;1;3;3;1;1,31
123;2;6;4;4;1;5;10;4;1;1;2;6;5;3;1;2;2;2;4;2;0,52
124;2;6;3;3;1;2;7;2;1;3;2;4;3;3;1;2;1;1;5;1;1,47
125;2;3;5;6;1;5;10;7;1;3;5;10;4;2;1;2;2;2;3;;3,1
126;2;3;3;3;1;5;10;4;1;3;3;5;2;3;1;2;2;2;2;2;1,88
127;2;6;5;6;2;6;17;5;1;1;1;5;4;3;2;7;1;3;5;2;0,22
128;1;4;3;6;1;4;10;6;1;3;2;5;3;2;1;2;1;2;3;2;0,46
129;2;6;2;5;1;3;17;2;1;1;2;4;4;3;2;7;2;1;5;1;0,35
130;1;4;5;3;2;5;10;1;1;1;4;5;3;3;1;2;2;3;3;2;0,3
131;1;4;3;2;2;6;10;6;1;1;1;3;1;3;1;2;1;3;3;1;0,23
132;1;5;4;5;2;5;10;7;1;1;4;5;4;2;1;2;2;3;3;2;1,17
133;1;5;1;3;2;6;7;7;1;2;2;6;5;2;1;2;2;3;4;2;0,16
134;2;4;4;4;2;2;10;7;1;1;3;8;3;4;1;2;2;3;3;3;0,77
135;2;6;1;6;1;6;16;5;1;2;3;7;3;3;2;6;;1;4;2;0,43
136;2;3;4;1;2;4;1;5;1;2;1;6;1;3;1;1;;3;3;2;0,29
137;2;3;2;6;1;5;3;3;1;2;2;6;3;2;1;1;;2;2;2;0,42
138;2;3;1;3;1;5;16;2;1;2;3;5;3;2;2;6;;2;3;2;1,34
139;1;4;2;3;1;4;10;5;1;2;4;7;3;3;1;2;1;2;3;2;1,17
140;2;4;3;3;1;6;3;5;1;1;2;8;5;3;1;1;;1;3;3;0,49
141;1;6;4;4;2;6;17;1;1;3;5;10;5;3;2;7;2;3;5;;0,36
142;1;2;4;4;2;4;14;6;1;1;4;7;3;4;2;5;;3;2;2;0,35
143;1;2;3;6;1;4;10;6;1;1;1;8;4;2;1;2;2;2;2;3;0,68
144;1;3;1;4;2;6;1;2;1;2;3;7;5;2;1;1;;3;2;2;0,18
145;2;6;2;1;2;3;17;4;1;2;2;6;1;2;2;7;1;3;4;2;0,17
