ID;Q003;Q004;Q005;Q006;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q018;Q019;Q020;Q021;Q022;Q023;Q024;peso
297;1;5;1;1;1;5;9;5;1;1;1;7;1;2;1;2;2;2;4;2;0,7
298;1;5;5;6;2;6;10;6;1;2;4;8;4;3;1;2;1;3;3;3;1,59
299;2;6;4;3;2;3;17;5;1;3;2;8;2;2;2;7;2;3;4;3;0,12
300;2;6;3;3;1;3;17;5;1;1;1;8;2;2;2;7;1;2;4;3;0,66
301;2;6;3;5;2;6;17;4;1;2;2;7;3;2;2;7;1;3;4;2;0,24
302;1;3;3;2;1;10;18;5;1;1;1;6;1;4;2;4;2;2;3;2;1,24
303;2;6;3;6;1;3;17;4;1;3;5;8;4;3;2;7;2;2;5;3;0,69
304;2;5;3;4;2;3;5;5;1;3;3;9;3;2;1;1;;3;4;4;0,97
305;2;2;2;5;1;1;14;6;1;1;5;6;4;2;2;5;;2;2;2;2,03
306;1;6;2;2;2;6;17;4;1;2;3;6;1;2;2;7;2;3;5;2;0,19
307;2;5;1;1;1;5;10;2;1;1;3;6;1;3;1;2;2;1;4;2;1,48
308;2;4;3;6;1;6;16;4;1;1;4;8;4;2;2;6;;2;3;3;0,49
309;2;2;3;2;2;6;7;1;1;1;5;6;1;1;1;2;1;3;2;2;0,85
310;2;4;3;6;1;5;10;2;1;1;2;4;4;3;1;2;2;2;3;1;1,4
311;2;6;4;3;1;3;17;6;1;1;1;3;3;2;2;7;2;1;5;1;0,35
312;2;3;1;2;1;6;10;7;1;3;5;7;1;2;1;2;2;2;2;2;1,34
313;1;4;2;6;1;6;10;5;1;1;2;10;3;2;1;2;2;2;3;;2,3
314;2;4;2;3;1;5;18;1;1;1;1;3;3;3;2;4;2;1;3;1;0,32
315;2;4;4;6;1;5;5;7;1;2;4;8;3;2;1;1;;2;3;3;0,34
316;2;6;1;6;1;5;17;4;1;1;5;6;3;2;2;7;2;2;4;2;0,62
317;1;4;1;3;2;5;5;2;1;1;5;7;5;2;1;1;;3;3;2;0,9
318;2;6;4;3;1;6;17;5;1;3;1;8;5;3;2;7;2;2;4;3;0,35
319;1;6;3;4;1;6;17;5;1;1;1;7;5;2;2;7;1;1;4;2;0,58
320;2;4;1;2;1;5;10;7;1;3;2;3;1;3;1;2;2;1;3;1;2,61
321;1;6;2;6;2;6;17;4;1;2;3;7;3;2;2;7;1;3;5;2;0,29
322;2;6;4;4;1;6;17;3;1;3;1;6;2;4;2;7;2;2;4;2;0,52
323;1;6;4;4;2;5;17;5;1;1;1;8;5;3;2;7;1;3;4;3;0,36
324;2;4;2;3;1;5;10;4;1;1;4;5;3;1;1;2;2;1;3;2;0,47
325;1;3;2;4;2;5;10;6;1;1;2;6;3;2;1;2;1;3;3;2;0,36
326;2;5;1;6;1;5;10;1;1;1;2;3;3;3;1;2;2;2;4;1;0,66
327;1;6;3;3;2;7;5;1;1;2;4;3;3;2;1;1;;3;5;1;0,66
328;1;5;1;3;1;9;16;5;1;2;1;8;2;3;2;6;;2;4;3;0,46
329;2;3;3;4;2;2;12;1;1;1;5;9;2;3;1;3;2;3;2;4;0,65
330;1;1;3;6;1;5;6;2;1;3;4;9;3;3;1;2;2;2;1;4;0,99
331;1;5;2;5;2;5;6;3;1;1;3;5;4;2;1;2;2;3;4;2;0,36
332;1;6;4;4;2;5;20;4;1;1;3;1;5;2;2;4;;3;4;1;0,38
333;2;6;3;5;1;5;17;3;1;3;2;3;4;2;2;7;1;2;4;1;2,9
334;2;5;2;3;1;3;9;5;1;1;1;3;3;3;1;2;2;2;4;1;0,73
335;2;3;3;6;2;5;10;3;1;3;2;3;3;2;1;2;2;3;3;1;0,16
336;2;6;2;6;2;7;17;5;1;2;1;8;3;2;2;7;1;3;4;3;0,17
337;2;4;3;5;2;6;10;6;1;1;1;7;4;2;1;2;2;3;3;2;0,24
338;1;4;3;2;1;5;12;7;1;1;5;10;1;3;1;3;2;1;3;;2,99
339;1;6;3;6;1;5;17;5;1;1;1;7;4;5;2;7;1;2;4;2;0,89
340;2;4;3;3;2;5;10;6;1;1;2;8;2;3;1;2;2;3;3;3;1,04
341;1;3;3;3;2;4;10;5;1;1;2;6;2;2;1;2;1;3;3;2;0,63
342;2;3;2;4;2;2;9;1;1;3;4;6;3;2;1;2;2;3;2;2;0,35
343;1;2;1;6;2;6;10;4;1;2;1;7;4;2;1;2;2;3;2;2;0,21
344;1;3;4;6;2;5;5;1;1;1;2;6;3;2;1;1;;3;3;2;0,42
345;2;6;3;3;1;6;17;2;1;1;2;3;2;3;2;7;2;1;5;1;1,36
346;1;5;2;6;1;3;17;6;1;1;1;8;4;3;2;7;2;1;4;3;0,71
347;2;6;5;3;1;6;17;5;1;1;5;6;3;3;2;7;1;2;5;2;0,63
348;2;6;3;4;1;6;17;5;1;1;1;5;3;3;2;7;1;2;5;2;0,66
349;2;5;1;3;1;6;10;3;1;1;1;7;2;2;1;2;2;2;3;2;0,66
350;1;5;4;3;2;5;7;6;1;1;1;7;2;2;1;2;1;3;4;2;0,26
351;2;6;1;2;2;5;10;1;1;2;4;7;3;2;1;2;2;3;4;2;0,48
352;2;4;1;4;2;5;16;2;1;3;4;5;3;3;2;6;;3;3;2;0,46
353;1;5;3;5;1;6;1;4;1;2;5;8;4;2;1;1;;2;3;3;0,7
354;2;6;1;6;1;7;17;4;1;1;2;8;3;2;2;7;2;2;4;3;0,66
355;2;6;1;1;1;3;17;7;1;3;3;3;5;5;2;7;1;1;4;1;2,75
356;1;4;3;4;2;5;5;4;1;1;4;3;2;2;1;1;;3;3;1;0,23
357;2;6;2;2;1;5;16;4;1;1;3;6;3;2;2;6;;1;4;2;2,11
358;2;4;4;1;1;6;16;6;1;1;5;2;1;4;2;6;;2;3;1;2,23
359;2;3;3;4;1;6;16;4;1;1;5;4;2;3;2;6;;1;2;1;0,42
360;1;4;1;3;1;5;10;3;1;3;2;3;3;3;1;2;2;2;3;1;2,59
361;2;5;4;4;1;5;16;2;1;1;2;7;3;3;2;6;;2;4;2;1,35
362;2;5;4;3;1;7;10;6;1;1;2;4;2;2;1;2;1;2;4;1;2,67
363;1;6;4;6;2;5;5;2;1;1;2;3;4;2;1;1;;3;5;1;0,8
364;1;6;1;5;1;6;17;4;1;2;4;7;3;3;2;7;2;1;5;2;1,59
365;2;2;1;6;2;5;8;6;1;1;2;5;4;3;1;2;1;3;2;2;0,97
366;2;6;2;5;2;3;17;4;1;1;2;6;4;3;2;7;1;3;4;2;0,17
367;1;4;3;6;2;5;6;4;1;2;1;7;4;3;1;2;2;3;3;2;0,17
368;1;2;4;4;2;6;5;5;1;1;3;8;3;2;1;1;;3;2;3;0,37
369;2;3;3;6;2;6;4;4;1;2;4;7;3;2;1;1;;3;2;2;0,16
370;1;6;1;2;2;6;17;4;1;2;4;8;1;2;2;7;2;3;4;3;0,18
371;2;6;1;3;1;5;17;6;1;1;3;7;2;2;2;7;2;2;4;2;1,4
372;2;5;3;6;2;5;8;5;1;1;1;8;4;3;1;2;1;3;4;3;0,23
373;2;4;1;4;2;5;9;4;1;3;3;6;5;3;1;2;2;3;3;2;0,9
374;2;6;1;6;2;6;17;4;1;1;1;6;4;2;2;7;1;3;4;2;0,23
375;1;6;4;2;1;5;10;2;1;1;2;5;1;2;1;2;1;2;4;2;2,32
376;2;4;2;5;1;7;9;1;1;1;1;7;4;2;1;2;1;2;3;2;1
377;1;5;1;4;1;6;5;4;1;1;1;7;2;2;1;1;;1;4;2;0,7
378;2;4;5;6;1;6;16;2;1;1;2;3;4;2;2;6;;2;3;1;0,41
379;2;4;1;3;1;6;4;3;1;2;4;3;2;2;1;1;;2;3;1;0,4
380;1;6;2;5;1;6;17;5;1;1;1;7;4;2;2;7;2;2;5;2;0,55
381;1;6;2;5;1;6;17;3;1;1;2;4;4;2;2;7;2;2;4;1;0,84
382;1;4;5;5;1;5;2;2;1;1;5;3;3;3;1;1;;2;3;1;0,87
383;1;5;2;5;1;5;9;5;1;1;1;7;3;3;1;2;1;2;4;2;0,75
384;1;3;4;4;1;6;10;3;1;2;1;7;3;3;1;2;2;2;3;2;3,04
385;1;5;3;5;1;3;10;6;1;2;4;8;4;3;1;2;2;2;4;3;2,95
386;2;6;2;5;1;5;17;2;1;1;3;3;4;2;2;7;1;2;4;1;1,07
387;2;6;1;3;1;5;16;2;1;3;3;7;3;2;2;6;;1;4;2;1,4
388;2;6;4;6;1;5;16;2;1;1;1;6;3;4;2;6;;1;4;2;1,16
389;2;6;1;1;2;6;17;2;1;1;2;3;1;3;2;7;1;3;4;1;0,48
390;1;4;4;6;2;5;10;6;1;1;4;8;4;3;1;2;2;3;3;3;0,91
391;1;3;4;6;1;4;18;6;1;2;4;8;3;4;2;4;2;2;2;3;3,04
392;2;4;2;5;1;6;11;5;1;1;1;7;4;2;1;2;2;2;3;2;1,97
393;1;4;1;6;2;5;9;4;1;1;3;4;4;3;1;2;2;3;3;1;0,21
394;1;4;3;4;1;2;5;5;1;3;5;7;3;2;1;1;;2;3;2;0,71
395;2;6;2;1;1;5;17;2;1;3;5;7;3;4;2;7;2;1;4;2;2,11
396;1;5;3;4;2;5;17;7;1;1;2;8;3;2;2;7;2;3;4;3;1,02
397;1;4;1;2;2;5;10;5;1;1;1;6;3;2;1;2;2;3;3;2;0,14
398;2;5;3;6;2;7;18;5;1;2;1;7;3;4;2;4;2;3;4;2;0,23
399;2;4;3;6;1;5;10;5;1;1;1;3;3;2;1;2;1;2;3;1;0,71
400;1;3;3;3;2;2;18;6;1;1;1;8;3;4;2;4;2;3;2;3;0,63
401;2;5;3;6;1;6;10;1;1;1;2;7;3;4;1;2;2;2;4;2;1,42
402;2;6;2;3;2;5;17;5;1;2;4;6;3;2;2;7;1;3;4;2;0,17
403;1;4;1;3;2;5;10;6;1;3;2;5;2;3;1;2;2;3;3;2;0,45
404;1;3;1;6;1;5;10;2;1;2;3;7;3;3;1;2;2;2;3;2;0,53
405;1;2;2;3;2;6;9;4;1;2;2;4;5;2;1;2;2;3;2;1;0,43
406;1;4;1;3;2;2;9;3;1;2;4;3;2;2;1;2;2;3;3;1;0,2
407;1;4;1;4;1;4;1;2;1;2;4;3;5;2;1;1;;2;3;1;1,21
408;1;6;4;6;2;6;7;5;1;1;1;8;3;2;1;2;1;3;4;3;0,25
409;1;4;4;4;1;5;10;4;1;1;1;8;3;3;1;2;2;2;3;3;0,59
410;1;5;3;3;1;9;2;5;1;2;1;8;3;2;1;1;;2;3;3;2,95
411;1;6;1;4;1;6;17;2;1;2;2;6;3;3;2;7;2;2;5;2;1,59
412;1;5;1;3;1;5;17;2;1;1;1;5;2;2;2;7;1;2;4;2;1,38
413;1;6;4;3;2;3;17;5;1;1;3;3;5;3;2;7;1;3;4;1;0,36
414;2;6;2;5;1;3;17;2;1;2;3;1;4;3;2;7;1;2;5;1;0,84
415;1;6;2;3;2;6;17;2;1;2;4;7;2;2;2;7;2;3;4;2;1,23
416;2;2;2;3;1;9;10;2;1;1;2;6;3;2;1;2;1;2;2;2;2,03
417;1;3;2;5;2;5;11;4;1;2;2;8;4;2;1;2;1;3;2;3;0,36
418;1;6;1;6;1;6;17;4;1;1;1;6;4;3;2;7;2;2;5;2;0,75
419;2;6;1;4;1;3;17;4;1;1;4;3;5;3;2;7;1;2;4;1;2,75
420;1;6;3;5;1;6;17;4;1;2;3;5;3;2;2;7;2;1;4;2;0,58
421;2;4;1;4;2;2;4;2;1;3;4;7;5;3;1;1;;3;3;2;0,46
422;2;6;2;3;1;3;17;1;1;1;1;7;5;4;2;7;1;1;4;2;1,07
423;2;6;1;6;1;9;19;6;1;2;4;3;4;3;2;4;;2;5;1;0,45
424;1;6;4;6;2;6;17;5;1;1;1;3;4;2;2;7;1;3;5;1;0,38
425;1;5;1;1;1;9;20;2;1;2;5;7;1;2;2;4;;1;4;2;2,95
426;1;6;1;2;1;3;20;6;1;2;2;8;1;3;2;4;;1;4;3;1,59
427;2;6;2;3;1;6;10;3;1;3;2;4;5;2;1;2;2;1;4;1;2,11
428;1;6;3;6;1;5;17;4;1;1;1;3;3;3;2;7;2;1;4;1;0,89
429;2;6;5;4;1;3;16;6;1;1;5;1;5;4;2;6;;1;5;1;0,66
430;2;6;4;4;1;5;17;6;1;1;1;3;3;4;2;7;2;1;4;1;2,29
431;2;3;3;6;2;6;5;5;1;1;2;7;3;2;1;1;;3;2;2;0,15
432;1;3;4;3;2;2;10;5;1;3;1;6;5;2;1;2;1;3;2;2;0,16
433;2;6;5;5;1;6;17;5;1;1;1;3;4;3;2;7;1;2;4;1;0,66
434;1;5;2;4;1;5;9;4;1;2;3;8;5;3;1;2;1;2;4;3;1,09
435;1;4;4;2;2;2;10;5;1;1;3;7;1;2;1;2;2;3;3;2;0,14
436;2;5;2;4;1;6;17;4;1;1;3;5;3;3;2;7;1;1;4;2;0,73
437;1;2;1;6;2;5;10;6;1;1;4;8;4;2;1;2;2;3;2;3;1,35
438;2;5;4;6;1;5;16;6;1;1;1;6;4;2;2;6;;2;4;2;0,6
439;2;5;4;4;1;5;10;5;1;1;2;6;3;2;1;2;1;2;4;2;0,6
440;2;6;3;1;1;9;17;4;1;1;2;2;1;3;2;7;2;1;4;1;0,69
441;2;6;2;6;2;7;17;5;1;1;1;6;4;3;2;7;2;3;4;2;0,17
442;2;3;2;3;2;5;10;5;1;1;2;6;2;2;1;2;2;3;2;2;0,21
443;2;5;4;3;1;5;16;6;1;1;4;3;2;3;2;6;;1;4;1;0,41
444;2;5;1;3;1;3;10;7;1;2;4;10;2;3;1;2;2;2;4;;2,92
445;2;6;1;4;1;6;17;5;1;2;1;6;3;3;2;7;2;1;4;2;0,66
446;1;2;2;4;2;6;9;5;1;1;1;8;2;2;1;2;1;3;2;3;0,41
447;2;6;4;4;1;6;17;6;1;1;2;5;3;3;2;7;2;2;4;2;1,16
448;1;1;1;1;1;1;10;6;1;3;5;3;1;3;1;2;2;1;1;1;2,98
449;2;2;2;3;1;1;15;6;1;1;2;8;3;2;2;4;;2;2;3;1,03
450;2;3;1;4;2;5;8;3;1;3;3;6;2;3;1;2;2;3;3;2;0,15
451;1;4;4;4;1;5;10;4;1;1;2;5;2;3;1;2;2;2;3;2;0,63
452;1;5;1;6;1;6;10;5;1;1;2;6;3;2;1;2;2;2;4;2;0,46
453;1;4;3;4;1;6;4;4;1;1;1;8;3;5;1;1;;2;3;3;0,71
454;1;6;4;6;2;7;17;4;1;2;1;8;4;3;2;7;1;3;5;3;0,38
455;2;6;1;5;1;5;17;5;1;1;4;5;3;3;2;7;1;2;5;2;1,4
456;2;4;1;6;1;5;12;2;3;1;2;5;3;4;1;3;2;2;3;2;1,22
457;1;6;3;2;1;6;17;6;1;1;3;6;1;2;2;7;2;1;4;2;0,85
458;1;6;5;6;2;6;17;5;1;1;3;2;3;4;2;7;2;3;4;1;0,22
459;2;6;4;4;1;5;8;5;1;1;3;6;3;3;1;2;1;2;4;2;0,54
460;2;6;2;4;1;5;16;6;1;1;1;7;3;3;2;6;;2;4;2;0,48
461;2;3;4;4;2;5;10;6;1;1;2;6;3;3;1;2;2;3;3;2;1,31
462;2;2;4;4;2;1;10;4;1;3;5;6;3;2;1;2;1;3;2;2;1,14
463;1;6;2;5;1;6;1;6;1;2;3;7;4;3;1;1;;2;4;2;0,55
464;1;6;1;3;1;6;17;5;1;2;1;6;2;3;2;7;2;2;4;2;0,7
465;1;6;3;6;1;7;20;4;1;1;1;6;3;2;2;4;;2;5;2;0,89
466;1;6;1;3;1;6;5;2;1;2;3;7;3;3;1;1;;2;5;2;1,59
467;1;6;3;1;1;6;4;2;1;2;3;6;1;4;1;1;;2;4;2;0,85
468;2;4;4;6;2;6;5;4;1;1;5;1;4;3;1;1;;3;3;1;0,18
469;1;4;1;2;1;5;10;4;1;2;3;3;1;3;1;2;2;1;3;1;0,62
470;2;4;2;5;1;5;16;7;1;1;4;7;4;3;2;6;;2;3;2;1
471;1;3;2;5;2;6;10;2;1;2;4;3;4;2;1;2;2;3;2;1;0,77
472;2;4;1;2;1;7;16;6;1;1;3;6;1;2;2;6;;1;3;2;1,32
473;1;6;3;5;2;6;5;4;1;1;1;8;4;3;1;1;;3;4;3;0,31
474;2;4;5;6;1;5;16;6;1;1;2;7;3;2;2;6;;2;3;2;0,41
475;1;6;5;5;1;5;17;2;1;2;4;4;3;3;2;7;2;2;5;1;1,12
476;1;5;5;5;1;5;17;3;1;1;3;3;3;2;2;7;1;2;4;1;2,33
477;2;4;2;6;2;5;18;7;1;1;4;7;3;5;2;4;1;3;3;2;0,68
478;1;3;1;4;2;5;10;6;1;2;2;7;2;2;1;2;1;3;2;2;1,19
479;2;6;2;2;1;6;10;2;1;2;3;7;1;2;1;2;2;2;4;2;0,84
480;1;4;4;6;1;5;4;3;1;1;3;7;4;3;1;1;;2;3;2;0,59
481;2;5;1;6;1;6;18;5;1;2;1;4;4;3;2;4;2;1;3;1;0,7
482;2;2;2;3;2;6;10;4;1;1;5;3;2;2;1;2;2;3;2;1;0,17
483;1;5;2;2;1;2;3;5;1;1;2;4;1;2;1;1;;2;3;1;0,75
484;1;5;5;3;2;5;1;6;1;1;2;5;3;2;1;1;;3;4;2;0,36
485;1;6;4;3;1;5;17;6;1;1;2;6;3;2;2;7;1;2;4;2;1,04
486;2;5;1;1;1;3;16;2;1;2;4;7;3;3;2;6;;1;4;2;1,48
487;2;5;3;3;1;5;16;6;1;3;4;7;3;3;2;6;;1;4;2;1,42
488;2;4;1;5;2;7;9;4;1;3;4;10;3;4;1;2;2;3;3;;0,22
489;2;4;1;5;1;6;5;2;1;2;3;7;4;3;1;1;;2;3;2;1,03
490;2;6;4;2;2;6;17;5;1;3;1;7;3;3;2;7;1;3;4;2;0,18
491;1;4;2;5;2;2;10;4;1;1;3;8;4;3;1;2;2;3;3;3;0,8
492;1;4;3;6;2;4;10;4;1;3;3;8;4;2;1;2;2;3;3;3;0,25
493;1;6;2;3;2;3;17;6;1;2;4;6;5;1;2;7;1;3;4;2;0,29
494;1;6;1;6;1;5;17;6;1;2;1;6;3;2;2;7;2;2;4;2;0,48
495;1;6;2;4;1;6;17;2;1;1;1;3;3;3;2;7;1;2;4;1;1,79
496;2;1;1;6;2;6;5;2;1;1;2;6;4;3;1;1;;3;2;2;0,12
497;2;5;1;5;1;5;10;4;1;1;3;6;4;3;1;2;2;2;4;2;2,92
498;2;6;1;6;2;6;17;4;1;2;4;3;3;2;2;7;2;3;4;1;0,23
499;1;2;1;4;2;1;7;4;1;2;5;4;3;2;1;2;1;3;2;1;0,32
500;1;3;5;6;1;8;5;6;1;1;2;6;4;2;1;1;;2;3;2;0,85
501;1;4;1;6;2;5;9;4;1;1;2;8;4;2;1;2;2;3;5;3;0,21
502;2;6;1;6;2;3;17;4;1;1;3;7;4;1;2;7;2;3;4;2;0,23
503;1;5;1;6;1;5;17;5;1;1;3;7;3;2;2;7;1;1;4;2;2,95
504;2;6;1;4;1;6;17;6;3;2;4;9;3;4;2;7;2;1;4;4;2,75
505;1;6;4;4;1;5;9;4;1;1;3;3;3;3;1;2;2;2;4;1;1,09
506;1;3;2;4;2;6;10;7;1;1;3;10;5;2;1;2;2;3;2;;1,52
507;2;4;2;5;1;5;10;2;1;2;2;3;4;4;1;2;2;2;3;1;1
508;2;6;2;2;1;6;17;2;1;1;4;6;3;2;2;7;1;2;4;2;1,07
509;2;6;1;4;2;5;17;5;1;1;2;3;5;2;2;7;2;3;4;1;0,22
510;2;4;1;6;1;6;16;7;1;1;5;4;4;4;2;6;;2;3;1;1,32
511;2;6;4;6;1;8;16;2;1;1;4;3;4;5;2;6;;2;5;1;1,16
512;1;2;4;3;2;4;11;4;1;1;1;3;3;2;1;2;1;3;2;1;0,37
513;2;3;4;1;1;4;15;1;1;3;2;9;1;2;2;4;;2;2;4;0,59
514;1;6;3;5;1;6;17;4;1;1;3;5;3;2;2;7;2;2;4;2;0,61
515;2;3;2;5;1;4;5;6;1;1;1;7;4;4;1;1;;2;2;2;0,42
516;2;3;4;3;1;5;11;6;1;1;1;8;5;3;1;2;2;2;2;3;0,86
517;2;6;4;4;2;3;17;5;1;1;1;8;5;3;2;7;1;3;4;3;0,12
518;1;6;1;6;2;6;17;5;1;1;2;3;4;2;2;7;1;3;5;1;0,26
519;2;6;4;3;2;5;17;4;1;1;4;8;3;2;2;7;1;3;4;3;0,19
520;2;6;1;6;2;3;5;4;1;2;3;7;4;2;1;1;;3;4;2;0,23
521;2;5;4;4;1;5;5;3;1;1;2;5;3;2;1;1;;1;4;2;0,6
522;1;3;5;2;1;5;12;4;1;1;1;4;1;3;1;3;2;1;2;1;1,49
523;1;3;5;2;1;5;12;4;1;1;1;2;1;3;1;3;1;2;3;1;0,9
524;2;3;1;4;2;5;10;6;1;1;2;7;2;2;1;2;2;3;2;2;0,46
525;1;3;3;6;1;6;10;6;1;1;1;5;4;3;1;2;1;2;2;2;4,08
526;2;4;3;6;1;5;10;2;1;3;4;7;4;2;1;2;2;2;3;2;3
527;2;6;1;5;1;6;17;2;1;3;1;3;3;2;2;7;1;2;5;1;1,4
528;2;6;3;3;1;6;16;3;1;2;3;5;5;2;2;6;;2;4;2;1,36
529;2;4;5;3;1;5;10;2;3;1;5;8;3;3;1;2;2;2;3;3;0,72
530;2;4;2;3;1;7;10;2;1;1;2;6;3;3;1;2;2;2;3;2;0,78
531;2;4;3;4;1;5;16;1;1;3;2;7;3;3;2;6;;2;3;2;1,52
532;2;6;1;2;1;5;18;5;1;1;1;6;1;3;2;4;2;1;4;2;0,43
533;2;6;3;3;1;6;17;1;1;3;2;7;2;3;2;7;2;1;4;2;1,47
534;1;4;3;6;1;5;8;4;1;1;1;3;3;3;1;2;1;2;3;1;0,49
535;1;3;1;3;1;2;10;2;1;1;2;7;3;2;1;2;2;2;2;2;3,44
536;1;4;1;2;1;6;10;1;1;1;1;7;3;3;1;2;1;2;3;2;2,59
537;1;5;5;3;2;5;6;3;1;2;2;3;3;2;1;2;1;3;4;1;0,81
538;1;5;2;3;2;9;5;6;1;2;2;7;5;2;1;1;;3;4;2;0,38
539;1;6;3;4;2;6;17;4;1;2;3;2;3;2;2;7;2;3;4;1;0,31
540;2;6;1;4;2;6;1;3;1;2;3;8;5;3;1;1;;3;4;3;0,23
541;1;3;1;3;1;4;17;2;1;1;3;3;5;3;2;7;1;1;3;1;0,82
542;1;6;4;1;1;10;17;4;1;3;5;3;1;2;2;7;1;2;4;1;1,09
543;2;5;5;6;1;5;4;6;1;1;1;6;3;4;1;1;;2;4;2;0,47
544;1;5;4;3;1;6;4;3;1;1;2;3;5;5;1;1;;2;4;1;3,37
545;1;5;3;6;2;5;1;6;1;2;2;7;4;2;1;1;;3;4;2;1,02
546;1;4;4;4;1;5;3;1;1;1;1;7;5;4;1;1;;2;3;2;0,59
547;2;4;4;3;1;5;18;3;1;3;1;7;5;3;2;4;2;2;3;2;0,5
548;2;6;4;4;1;5;17;4;1;3;5;5;2;2;2;7;2;1;4;2;2,29
549;2;6;3;6;1;6;17;5;1;1;2;3;3;2;2;7;1;2;4;1;0,48
550;2;3;1;4;1;2;10;4;1;1;2;6;3;2;1;2;1;2;3;2;0,63
551;2;4;4;4;1;6;10;6;1;1;4;3;2;2;1;2;1;2;3;1;2,23
552;2;5;3;2;1;3;18;6;1;3;1;3;1;5;2;4;2;1;4;1;0,67
553;1;6;4;5;1;6;17;3;1;1;2;3;4;2;2;7;2;2;4;1;2,32
554;1;3;1;3;2;2;10;1;1;1;3;6;3;3;1;2;2;3;3;2;0,6
555;2;6;2;1;2;6;17;3;1;1;1;4;3;2;2;7;1;3;5;1;0,17
556;2;6;2;1;1;6;17;2;1;2;3;6;1;2;2;7;2;1;4;2;0,84
557;1;6;2;2;1;6;17;4;1;1;3;10;1;2;2;7;2;2;4;;0,84
558;2;5;3;6;2;5;7;5;1;2;4;7;4;2;1;2;1;3;4;2;0,97
559;2;6;5;5;1;5;16;4;1;1;1;5;3;4;2;6;;1;4;2;0,43
560;2;6;3;6;2;6;17;5;1;3;3;9;4;2;2;7;1;3;4;4;0,24
561;2;4;4;4;2;5;10;7;1;1;2;2;3;2;1;2;1;3;3;1;0,18
562;1;5;4;3;1;5;12;4;1;1;4;5;2;4;1;3;2;2;3;2;0,76
563;2;5;1;3;1;5;17;6;1;2;3;6;3;2;2;7;2;2;4;2;0,66
564;2;6;3;3;1;5;17;5;1;1;2;3;2;3;2;7;2;1;4;1;0,66
565;1;6;5;3;2;5;17;3;1;2;3;3;3;2;2;7;2;3;4;1;0,23
566;1;4;2;5;1;6;11;7;1;3;2;7;4;3;1;2;1;2;3;2;2,3
567;2;6;5;1;2;3;17;6;1;2;5;5;3;5;2;7;2;3;5;2;0,22
568;2;4;2;2;1;6;10;3;1;3;4;6;1;3;1;2;2;2;3;2;0,32
569;1;6;4;3;1;6;17;6;1;1;5;5;5;2;2;7;1;2;4;2;1,04
570;1;6;2;3;1;6;17;4;1;2;3;7;3;3;2;7;2;2;4;2;0,84
571;2;6;4;1;1;5;17;3;1;1;1;6;1;3;2;7;1;1;4;2;0,52
572;2;6;4;4;1;7;16;6;1;1;4;2;3;2;2;6;;2;5;1;0,52
573;1;6;2;5;1;3;20;2;1;2;3;7;4;5;2;4;;2;4;2;1,79
574;1;5;4;4;1;5;9;5;1;1;2;3;3;3;1;2;2;2;5;1;0,76
575;1;1;3;6;1;4;14;1;1;1;3;6;4;3;2;5;;2;2;2;1,07
576;2;6;4;3;1;6;16;4;1;1;3;3;5;2;2;6;;1;5;1;2,29
577;1;5;1;3;2;5;5;1;1;2;4;6;5;3;1;1;;3;3;2;0,52
578;1;6;3;2;1;5;1;2;1;1;1;3;3;1;1;1;;1;4;1;1,75
579;1;4;1;3;1;5;10;6;1;2;5;6;2;3;1;2;2;2;3;2;2,59
580;1;3;2;3;2;5;5;3;1;2;3;6;3;2;1;1;;3;3;2;0,24
581;1;6;4;5;1;5;17;2;1;1;2;1;4;3;2;7;2;2;4;1;1,04
582;1;6;1;6;2;6;17;4;1;1;1;3;3;2;2;7;1;3;4;1;0,26
583;2;5;1;6;1;6;18;5;1;3;2;1;3;3;2;4;2;2;3;1;0,45
584;1;2;5;2;2;4;15;4;1;1;2;7;1;2;2;4;;3;2;2;0,31
585;1;6;3;1;1;5;17;3;1;3;3;3;1;2;2;7;2;2;5;1;1,75
586;1;3;1;6;2;2;9;5;1;1;1;7;3;3;1;2;1;3;2;2;0,28
587;2;2;4;1;1;5;10;4;1;1;5;8;1;2;1;2;2;2;2;3;0,51
588;2;5;5;1;1;6;16;6;1;1;2;6;5;3;2;6;;1;3;2;1,98
589;2;4;1;6;2;7;6;3;1;2;4;3;4;2;1;2;2;3;3;1;0,22
590;1;2;1;6;1;6;10;6;1;1;3;9;4;2;1;2;2;2;2;4;0,87
591;1;2;2;4;2;6;7;5;1;2;2;6;5;2;1;2;1;3;2;2;0,43
592;2;6;2;5;2;7;17;4;1;1;4;7;4;2;2;7;1;3;4;2;0,73
593;1;2;4;3;1;2;5;7;1;3;5;10;5;5;1;1;;2;2;;4,44
594;2;6;5;6;1;3;16;7;1;1;5;3;3;3;2;6;;1;4;1;2,77
595;2;3;5;4;1;6;16;5;1;1;1;5;5;3;2;6;;2;3;2;3,1
596;2;6;3;3;1;6;17;1;1;1;1;3;3;5;2;7;2;1;4;1;1,15
597;2;6;2;5;1;6;17;5;1;1;2;7;3;2;2;7;1;2;4;2;0,5
598;2;5;4;4;1;7;16;6;1;1;2;7;5;2;2;6;;2;3;2;2,67
599;1;3;1;2;2;6;9;2;1;2;2;4;1;2;1;2;1;3;2;1;0,6
600;1;5;1;5;1;5;10;2;1;3;3;8;4;3;1;2;2;2;3;3;2,95
