ID;Q002;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q019;Q020;Q021;Q022;Q023;Q024;Q025;peso
283;1;4;3;4;2;5;10;4;1;2;3;4;7;5;3;1;2;2;3;3;2;0,26
284;1;6;3;5;1;6;17;5;1;2;1;3;7;3;2;2;7;2;2;4;2;0,71
285;2;5;2;3;1;9;10;5;1;1;1;1;7;2;3;1;2;2;2;4;2;0,66
286;1;5;3;6;2;5;6;5;1;1;2;3;8;4;2;1;2;1;3;4;3;0,18
287;1;5;3;6;2;3;10;5;1;1;1;2;8;4;4;1;2;2;3;4;3;0,12
288;1;6;3;3;1;6;17;5;1;1;1;2;7;3;4;2;7;1;1;5;2;0,71
289;1;6;5;4;2;5;18;5;1;1;1;1;8;3;4;2;4;2;3;4;3;0,81
290;1;6;5;6;2;3;17;4;1;1;1;3;6;4;3;2;7;1;3;4;2;0,21
291;2;6;3;6;2;3;17;5;1;1;1;1;8;4;3;2;7;2;3;4;3;0,16
292;2;5;3;5;1;3;10;1;1;1;1;4;10;4;4;1;2;1;2;4;;1,8
293;2;6;2;5;2;3;16;4;1;2;2;3;3;4;2;2;6;;3;4;1;0,25
294;2;3;3;6;2;6;8;5;1;1;1;4;7;3;2;1;2;1;3;2;2;0,21
295;2;4;3;6;1;5;10;2;1;2;2;3;5;4;3;1;2;2;2;3;2;1,41
296;2;4;1;6;1;6;10;3;1;1;1;4;6;4;3;1;2;2;2;3;2;0,5
297;2;3;3;2;1;6;10;7;1;1;2;2;6;1;2;1;2;2;2;3;2;2,06
298;1;3;1;4;2;5;1;1;1;1;4;4;7;5;2;1;1;;3;3;2;0,71
299;2;3;4;4;2;5;10;5;1;1;2;2;3;3;3;1;2;2;3;5;1;0,16
300;2;5;2;5;1;6;10;5;1;3;2;2;8;4;2;1;2;2;2;3;3;0,66
301;2;3;2;5;1;5;10;2;1;1;2;2;4;4;3;1;2;2;2;2;1;0,49
302;1;2;1;4;2;1;10;4;1;1;1;4;3;3;2;1;2;2;3;2;1;0,22
303;1;6;2;4;2;6;5;4;1;1;1;2;8;5;1;1;1;;3;4;3;0,27
304;2;4;2;5;2;6;7;6;1;2;3;4;3;4;2;1;2;2;3;3;1;0,85
305;2;5;2;5;1;5;10;2;1;1;1;4;6;4;2;1;2;1;2;3;2;2,51
306;2;2;3;2;1;6;9;2;1;1;2;5;4;3;2;1;2;2;2;2;1;0,55
307;1;6;3;4;1;6;17;5;1;1;2;2;7;2;2;2;7;1;1;4;2;0,45
308;1;6;2;5;1;6;17;5;1;1;1;2;3;4;3;2;7;2;2;5;1;0,77
309;2;6;1;6;1;3;17;4;1;3;1;1;6;4;5;2;7;2;1;4;2;0,63
310;2;6;1;3;1;6;17;4;1;1;5;3;3;3;2;2;7;1;2;4;1;0,63
311;2;4;2;4;1;2;10;4;1;3;5;5;10;3;3;1;2;2;1;3;;2,54
312;1;5;3;5;1;5;18;7;1;3;5;5;5;3;5;2;4;2;1;4;2;2,06
313;1;5;5;5;1;5;10;4;3;1;1;4;4;4;4;1;2;2;2;4;1;0,96
314;2;5;3;3;1;6;16;4;1;1;2;3;7;2;4;2;6;;2;4;2;0,45
315;2;6;1;1;1;7;17;2;1;3;4;4;7;3;4;2;7;2;1;4;2;0,83
316;2;5;2;4;1;3;10;7;1;3;3;3;4;3;3;1;2;2;1;3;1;2,51
317;1;3;4;4;1;6;12;1;1;2;3;4;3;3;4;1;3;2;2;3;1;1,28
318;2;6;2;6;2;7;17;5;1;1;1;1;8;3;2;2;7;1;3;4;3;0,25
319;2;4;3;4;2;6;10;6;1;1;1;2;7;2;2;1;2;2;3;3;2;0,23
320;1;6;3;6;1;5;17;3;1;1;2;2;3;4;3;2;7;2;2;5;1;0,71
321;1;4;3;2;1;5;12;7;1;1;5;5;10;1;3;1;3;2;1;3;;3,03
322;2;6;3;5;1;6;17;6;1;3;3;3;10;4;2;2;7;2;2;4;;0,67
323;2;4;4;3;1;7;18;6;1;1;2;4;5;3;4;2;4;2;2;3;2;2,32
324;1;3;1;2;2;2;10;4;1;2;2;3;5;1;2;1;2;1;3;3;2;0,32
325;2;6;4;4;2;5;17;4;1;1;3;2;3;3;2;2;7;1;3;4;1;0,39
326;1;4;5;4;1;5;10;2;1;1;5;5;6;5;2;1;2;2;2;3;2;3,09
327;1;3;1;5;1;2;10;1;1;1;4;4;7;4;2;1;2;2;2;3;2;1,28
328;2;4;1;2;1;5;5;1;1;1;2;3;8;1;4;1;1;;1;3;3;1,16
329;2;6;3;3;1;6;17;2;1;1;2;2;3;3;3;2;7;2;1;5;1;1,37
330;2;5;3;4;2;5;5;3;1;1;2;4;1;3;3;1;1;;3;3;1;0,15
331;2;2;2;6;1;4;20;6;1;3;5;4;7;4;2;2;4;;2;2;2;1,13
332;2;6;5;3;1;5;16;6;1;1;1;5;7;5;3;2;6;;1;5;2;3,72
333;1;4;5;3;1;2;11;4;1;1;2;3;7;2;2;1;2;2;2;3;2;0,81
334;1;6;5;2;2;9;17;5;1;1;2;3;3;1;2;2;7;1;3;4;1;0,21
335;2;4;2;4;2;6;10;5;1;3;3;3;8;2;2;1;2;1;3;3;3;0,22
336;2;5;1;3;1;6;10;3;1;2;1;3;7;3;2;1;2;2;2;3;2;0,58
337;1;5;4;3;2;5;7;6;1;1;1;4;7;5;2;1;2;1;3;4;2;0,26
338;2;4;2;3;2;5;10;2;1;1;2;2;3;3;3;1;2;2;3;3;1;0,49
339;2;3;5;3;2;4;6;6;1;2;1;1;6;3;3;1;2;2;3;2;2;0,27
340;1;2;5;6;1;5;10;4;1;1;2;3;8;3;3;1;2;2;2;2;3;0,54
341;2;5;1;6;1;6;18;3;1;1;4;4;7;4;2;2;4;2;2;4;2;1,36
342;2;4;1;4;1;5;10;5;1;3;5;3;7;2;3;1;2;2;1;3;2;0,52
343;2;6;4;5;1;6;16;1;1;1;3;3;7;4;3;2;6;;1;4;2;2,01
344;1;3;1;3;2;5;10;3;1;2;2;2;3;3;2;1;2;2;3;2;1;0,71
345;2;4;2;3;1;5;10;7;1;2;1;2;7;2;3;1;2;2;2;3;2;2,54
346;1;3;4;6;2;6;9;5;1;1;3;4;8;4;2;1;2;2;3;2;3;0,3
347;2;3;1;3;1;5;18;6;1;1;2;4;6;3;2;2;4;1;2;3;2;2,33
348;2;2;3;2;2;6;1;2;1;1;3;3;9;1;2;1;1;;3;2;4;0,31
349;2;4;4;1;1;6;16;6;1;1;2;4;2;1;4;2;6;;2;3;1;2,32
350;2;3;4;3;1;5;16;5;1;1;1;1;3;3;2;2;6;;2;2;1;0,51
351;1;2;3;6;1;9;4;5;1;1;1;2;8;4;2;1;1;;2;2;3;0,91
352;2;4;4;1;2;5;5;2;1;1;1;3;6;5;4;1;1;;3;3;2;0,19
353;1;2;3;5;1;5;10;4;1;2;1;4;5;3;1;1;2;2;2;2;2;0,6
354;1;4;1;3;2;5;5;2;1;1;2;3;3;5;2;1;1;;3;3;1;0,49
355;2;6;4;6;1;3;17;2;1;1;1;3;5;3;4;2;7;2;1;5;2;2,01
356;2;6;3;4;1;6;17;3;1;1;2;3;5;3;2;2;7;2;2;4;2;2,72
357;2;5;1;6;1;5;10;4;1;1;1;3;7;4;3;1;2;1;1;4;2;0,61
358;2;5;3;4;1;7;16;6;1;1;2;2;7;3;4;2;6;;1;4;2;1,04
359;2;5;2;5;2;6;10;5;1;2;4;4;8;4;2;1;2;2;3;4;3;0,84
360;1;5;3;3;1;5;11;5;1;1;1;1;7;2;3;1;2;1;1;4;2;0,51
361;2;5;4;4;2;9;8;4;1;2;1;3;1;2;3;1;2;2;3;4;1;0,72
362;1;4;3;5;1;5;4;2;1;2;4;4;7;4;2;1;1;;2;3;2;1,76
363;1;2;2;5;1;1;10;6;1;1;1;4;8;4;2;1;2;2;2;2;3;2,19
364;1;4;2;6;2;5;9;5;1;1;3;3;7;4;2;1;2;1;3;3;2;0,15
365;1;5;5;3;2;3;5;2;1;1;4;4;5;3;3;1;1;;3;4;2;0,3
366;1;6;2;2;1;3;17;4;1;2;4;4;3;3;2;2;7;2;2;5;1;0,82
367;1;4;3;6;2;5;10;4;1;1;2;3;7;4;5;1;2;1;3;3;2;1,01
368;1;6;1;2;2;6;17;4;1;2;4;4;8;1;2;2;7;2;3;4;3;0,19
369;1;5;1;1;2;3;5;4;1;1;1;2;4;1;2;1;1;;3;4;1;0,32
370;1;5;3;4;2;5;9;6;1;1;1;1;8;5;3;1;2;1;3;4;3;0,18
371;1;6;1;6;1;6;17;4;1;1;2;2;8;4;2;2;7;2;2;4;3;0,74
372;1;4;1;4;1;2;10;6;1;1;4;4;10;3;3;1;2;2;2;3;;2,54
373;2;6;2;3;2;5;17;4;1;3;5;5;7;3;2;2;7;1;3;4;2;0,17
374;2;5;4;4;2;5;8;6;1;1;2;4;6;3;3;1;2;1;3;4;2;0,18
375;1;6;2;5;1;2;17;3;1;1;3;4;3;4;2;2;7;1;1;4;1;1,8
376;2;6;2;5;1;3;17;6;1;1;4;4;10;3;3;2;7;2;1;4;;1,68
377;2;5;4;5;2;7;17;5;1;1;2;2;8;4;2;2;7;1;3;4;3;0,19
378;1;5;2;3;1;5;9;5;1;1;2;3;5;3;3;1;2;2;2;4;2;0,51
379;1;6;2;5;1;6;17;5;1;1;1;1;8;3;2;2;7;1;2;4;3;0,54
380;1;5;3;3;1;5;10;5;1;1;1;1;10;2;4;1;2;1;2;4;;0,54
381;1;3;5;4;2;4;10;2;1;1;1;3;6;2;3;1;2;1;3;2;2;0,54
382;1;6;2;5;1;5;17;4;1;2;3;3;7;4;2;2;7;2;2;5;2;0,82
383;1;3;1;4;1;5;10;4;1;1;2;2;6;3;3;1;2;2;2;3;2;0,97
384;1;4;1;4;1;6;21;7;1;3;5;5;10;3;3;;;;2;3;;2,54
385;1;5;3;5;1;3;10;6;1;2;4;4;8;4;3;1;2;2;2;4;3;2,06
386;1;4;2;4;1;5;11;4;1;1;3;4;6;3;3;1;2;2;2;3;2;0,7
387;2;6;2;5;1;5;17;2;1;1;2;4;3;4;2;2;7;1;2;4;1;1,68
388;2;6;3;4;1;8;17;2;1;1;3;3;3;3;3;2;7;2;2;5;1;2,72
389;2;6;1;3;1;5;16;2;1;1;4;3;7;3;2;2;6;;1;4;2;1,39
390;2;6;1;6;1;3;16;1;1;3;2;2;6;4;2;2;6;;2;4;2;0,83
391;1;3;4;4;1;2;11;6;1;1;1;4;7;5;3;1;2;2;2;2;2;2,21
392;2;4;3;4;2;7;16;6;1;1;1;1;8;5;2;2;6;;3;3;3;0,93
393;1;6;1;4;1;6;17;2;1;2;4;4;8;5;2;2;7;2;2;5;3;1,44
394;1;3;2;4;2;6;6;1;1;1;4;3;5;3;2;1;2;2;3;2;2;0,81
395;1;5;3;4;2;5;17;1;1;3;3;3;7;3;2;2;7;1;3;4;2;0,4
396;1;4;3;4;1;2;5;5;1;1;5;5;7;3;2;1;1;;2;3;2;0,79
397;1;5;3;3;1;6;10;5;1;1;4;4;8;3;2;1;2;2;2;4;3;0,54
398;2;4;4;3;2;8;5;4;1;1;2;5;5;3;2;1;1;;3;3;2;0,2
399;1;3;3;6;2;5;9;1;1;1;2;4;3;3;3;1;2;2;3;3;1;0,31
400;2;5;3;6;1;5;9;5;1;1;1;3;7;4;2;1;2;1;2;4;2;0,3
401;1;6;3;6;2;10;17;4;1;1;2;2;3;4;2;2;7;2;3;4;1;0,24
402;2;5;3;6;1;5;10;6;1;1;1;4;7;3;5;1;2;2;2;3;2;1,8
403;2;3;2;4;1;2;10;7;1;3;5;2;3;3;3;1;2;2;1;3;1;1,96
404;1;6;3;3;2;6;17;4;1;1;1;1;6;3;1;2;7;2;3;4;2;0,24
405;2;4;4;6;2;5;7;4;1;1;2;3;6;4;2;1;2;1;3;3;2;0,2
406;2;5;3;6;1;6;10;1;1;1;4;4;7;3;4;1;2;2;2;4;2;1,04
407;1;6;5;6;2;5;5;4;1;1;1;4;3;4;3;1;1;;3;4;1;0,13
408;1;5;3;4;1;6;18;1;1;1;1;2;8;5;3;2;4;1;2;4;3;0,51
409;2;3;2;1;2;6;8;5;1;1;1;2;7;1;2;1;2;1;3;3;2;0,17
410;2;6;2;5;2;5;17;2;1;3;3;3;3;4;2;2;7;1;3;4;1;0,49
411;1;6;2;4;1;6;17;2;1;2;3;4;6;2;5;2;7;2;2;4;2;1,8
412;2;2;4;1;2;6;11;2;1;2;3;4;8;1;2;1;2;2;3;2;3;0,61
413;1;6;4;1;2;6;17;4;1;1;3;3;3;1;2;2;7;1;3;4;1;0,24
414;2;3;4;1;2;4;20;7;1;3;5;5;1;1;3;2;4;;3;2;1;0,65
415;2;6;4;1;2;5;17;4;1;1;2;3;3;1;2;2;7;1;3;4;1;0,18
416;1;6;4;4;2;5;17;6;1;1;2;2;7;5;2;2;7;1;3;4;2;0,23
417;1;6;1;6;2;6;17;4;1;2;1;1;8;3;2;2;7;2;3;4;3;0,25
418;2;6;2;6;1;6;17;4;1;3;2;3;6;4;2;2;7;2;2;4;2;0,76
419;1;6;1;6;1;3;17;2;1;1;2;3;3;3;2;2;7;2;2;5;1;0,7
420;2;6;5;4;1;5;17;4;1;3;1;3;6;3;2;2;7;1;2;4;2;0,97
421;1;4;4;2;1;5;10;4;1;1;1;2;10;3;2;1;2;1;2;3;;0,71
422;2;6;2;5;1;6;17;6;1;1;5;3;7;3;3;2;7;1;2;4;2;0,72
423;2;5;4;6;2;6;7;6;1;1;1;3;7;4;3;1;2;1;3;4;2;0,18
424;2;4;3;4;2;5;16;6;1;1;3;2;5;5;2;2;6;;3;3;2;0,23
425;1;6;4;3;1;6;17;1;1;1;1;1;6;3;3;2;7;1;1;5;2;1,4
426;2;6;2;3;1;6;10;3;1;2;4;2;4;3;2;1;2;2;1;4;1;2,9
427;2;5;4;2;2;5;16;2;1;1;3;3;6;5;2;2;6;;3;4;2;0,18
428;2;6;5;4;1;3;16;6;1;1;5;5;1;5;4;2;6;;1;5;1;0,97
429;2;6;1;6;1;5;17;6;1;1;3;3;6;4;2;2;7;1;2;4;2;2,39
430;2;3;5;5;2;5;7;5;1;2;2;2;3;3;3;1;2;1;3;3;1;1,1
431;1;4;3;4;1;4;18;5;1;1;2;3;7;3;3;2;4;2;1;3;2;0,75
432;2;6;4;4;1;5;17;6;1;1;1;2;3;3;4;2;7;2;1;4;1;2,01
433;2;5;3;6;1;5;18;2;1;1;3;2;5;3;4;2;4;2;2;4;2;1,04
434;1;4;3;5;1;2;12;6;1;2;3;5;10;4;3;1;3;2;2;3;;3,03
435;1;4;5;6;2;6;7;4;1;1;2;3;7;4;3;1;2;1;3;3;2;0,17
436;2;4;1;6;1;2;10;1;1;1;2;3;7;4;2;1;2;2;2;3;2;2
437;2;6;5;5;1;2;17;5;1;1;1;2;3;4;2;2;7;1;2;4;1;0,97
438;2;2;4;3;1;4;10;6;1;1;2;4;6;3;5;1;2;1;2;2;2;0,45
439;2;5;4;6;2;5;10;7;1;1;1;2;3;4;4;1;2;2;3;4;1;0,42
440;2;5;4;6;1;5;16;6;1;1;1;3;6;4;3;2;6;;2;4;2;0,54
441;2;5;3;2;1;6;16;6;1;2;2;4;9;1;4;2;6;;2;4;4;1,8
442;2;6;2;2;2;6;17;4;1;3;5;5;3;5;2;2;7;1;3;5;1;0,25
443;2;4;1;3;1;7;2;2;1;2;4;4;7;5;4;1;1;;1;3;2;1,16
444;2;2;1;3;2;6;10;6;1;1;3;3;6;2;2;1;2;2;3;2;2;0,66
445;2;6;1;4;1;5;17;2;1;2;4;2;3;5;2;2;7;2;1;5;1;1,39
446;1;5;4;1;1;5;12;4;1;1;2;2;9;3;4;1;3;2;1;4;4;3,1
447;2;6;1;6;1;7;17;5;1;1;4;4;6;3;3;2;7;1;2;5;2;1,39
448;1;2;1;3;2;1;6;4;1;1;4;4;7;3;2;1;2;1;3;2;2;0,22
449;1;5;1;3;1;5;10;4;1;1;2;4;1;3;3;1;2;1;2;4;1;3,69
450;2;5;4;2;1;5;16;5;1;1;3;2;10;1;3;2;6;;2;4;;0,54
451;2;5;2;5;1;6;10;4;1;1;1;4;7;4;3;1;2;1;2;4;2;0,66
452;1;6;1;6;2;6;17;4;1;3;5;1;3;3;2;2;7;2;3;4;1;0,25
453;2;6;3;4;2;6;17;4;1;3;2;2;8;2;3;2;7;1;3;4;3;0,24
454;2;6;1;5;1;7;17;5;1;2;4;4;6;3;3;2;7;1;2;5;2;0,63
455;2;6;3;3;1;7;16;2;1;1;4;4;3;2;2;2;6;;2;4;1;1,57
456;2;3;1;1;1;6;10;4;1;1;2;3;8;1;3;1;2;2;2;3;3;2,33
457;1;6;1;6;2;6;5;5;1;2;1;3;7;4;3;1;1;;3;4;2;0,25
458;1;6;1;1;1;5;17;2;1;1;1;2;8;1;3;2;7;2;2;5;3;0,58
459;2;3;4;6;1;5;18;1;1;1;4;4;6;3;3;2;4;1;2;2;2;1,13
460;1;3;2;5;2;6;10;4;1;2;5;5;6;3;2;1;2;2;3;2;2;0,14
461;2;6;5;6;2;7;5;5;1;1;5;4;7;4;2;1;1;;3;4;2;0,2
462;2;5;1;6;2;5;4;2;1;2;3;5;6;4;2;1;1;;3;4;2;0,45
463;2;4;1;6;1;5;12;2;3;1;2;2;5;3;4;1;3;2;2;3;2;1,01
464;1;4;2;2;1;5;10;3;1;1;1;4;4;1;2;1;2;2;2;3;1;0,66
465;1;6;1;1;1;4;17;2;1;2;2;2;8;1;2;2;7;2;2;4;3;0,99
466;2;6;3;6;1;3;17;2;1;1;4;4;6;3;2;2;7;1;1;4;2;1,57
467;2;6;4;4;1;5;8;5;1;1;5;4;6;3;3;1;2;1;2;4;2;0,53
468;1;6;3;5;2;6;17;1;1;2;2;2;5;4;1;2;7;1;3;4;2;0,32
469;2;6;4;3;1;3;17;4;1;1;1;4;3;2;4;2;7;2;1;4;1;0,5
470;2;3;3;1;2;5;5;1;1;2;1;3;8;1;3;1;1;;3;3;3;0,24
471;2;6;1;3;1;6;17;4;1;1;2;3;5;2;2;2;7;1;2;4;2;0,63
472;1;3;2;2;1;5;10;6;1;3;2;5;7;1;3;1;2;2;2;2;2;0,6
473;1;5;2;5;1;6;17;2;1;1;2;3;3;4;3;2;7;2;2;4;1;1,68
474;1;4;1;4;1;5;10;1;1;2;4;4;5;5;4;1;2;1;2;3;2;2,54
475;1;6;2;3;2;6;17;4;1;1;1;2;1;5;2;2;7;2;3;5;1;0,6
476;1;6;4;3;2;6;5;2;1;2;3;3;5;2;2;1;1;;3;5;2;0,53
477;1;6;3;4;1;6;17;4;1;1;2;4;3;3;2;2;7;2;2;5;1;0,71
478;2;5;4;4;1;5;16;2;1;1;4;4;3;3;2;2;6;;2;4;1;1,26
479;1;6;2;3;1;6;17;3;1;1;5;5;3;2;3;2;7;1;2;4;1;0,82
480;1;3;1;6;2;5;10;5;1;1;2;3;8;4;2;1;2;2;3;2;3;1,23
481;1;6;4;6;1;6;17;3;1;1;4;4;6;4;3;2;7;1;2;4;2;2,76
482;1;3;1;2;2;5;9;5;1;1;1;1;8;3;2;1;2;2;3;2;3;0,3
483;1;5;3;6;1;5;17;2;1;1;2;2;6;4;2;2;7;2;2;4;2;1,19
484;2;5;2;3;1;3;17;2;1;1;2;2;5;2;2;2;7;2;1;4;2;1,46
485;1;6;5;3;1;6;17;5;1;1;4;4;7;3;3;2;7;1;2;4;2;2,42
486;2;6;5;6;1;6;16;3;1;1;2;2;3;3;3;2;6;;2;4;1;0,92
487;2;6;2;3;1;3;17;2;1;1;4;4;7;5;2;2;7;2;2;5;2;1,68
488;2;6;5;4;2;3;17;1;3;3;2;5;7;5;2;2;7;1;3;5;2;0,63
489;2;5;3;6;1;6;17;5;1;1;4;4;7;4;2;2;7;2;2;4;2;0,91
490;1;2;3;6;1;6;10;4;1;1;1;3;8;3;2;1;2;2;2;2;3;3,46
491;1;4;4;6;1;5;4;3;1;2;2;3;7;4;3;1;1;;2;3;2;0,67
492;1;3;5;3;2;4;5;1;1;2;4;4;5;2;2;1;1;;3;3;2;0,54
493;2;3;4;1;2;6;18;7;1;3;5;5;6;3;4;2;4;2;3;2;2;0,65
494;1;5;1;3;1;6;17;4;1;1;1;4;8;2;2;2;7;1;2;4;3;0,61
495;1;4;1;3;1;7;10;6;1;1;3;4;6;3;3;1;2;2;2;3;2;0,67
496;1;4;3;4;2;5;7;5;1;1;1;2;6;3;3;1;2;1;3;3;2;0,17
497;1;2;1;3;1;4;14;5;1;1;1;1;6;3;2;2;5;;2;2;2;1,43
498;1;2;4;6;1;6;4;4;1;1;2;3;7;3;3;1;1;;2;2;2;0,68
499;1;4;1;3;1;6;18;6;1;1;5;3;9;2;4;2;4;2;1;3;4;2,54
500;1;6;2;3;2;3;17;6;1;2;4;4;6;5;1;2;7;1;3;4;2;0,27
501;2;4;4;5;1;5;10;6;1;1;2;4;6;3;4;1;2;2;2;3;2;1,35
502;2;6;5;6;1;7;17;5;3;1;2;2;5;4;3;2;7;2;2;4;2;0,97
503;2;5;4;3;1;5;16;6;1;1;5;5;4;3;3;2;6;;1;4;1;2,17
504;1;5;2;6;2;5;10;7;1;1;1;3;7;4;4;1;2;2;3;4;2;0,25
505;2;5;5;4;1;5;18;3;1;1;2;3;6;3;3;2;4;2;2;4;2;0,66
506;2;4;1;6;1;6;16;7;1;3;5;5;6;3;3;2;6;;2;3;2;1,16
507;1;4;4;6;1;5;12;6;1;1;2;1;3;3;2;1;3;1;1;3;1;0,67
508;2;6;1;4;1;6;17;6;3;2;4;4;9;3;4;2;7;2;1;4;4;2,39
509;2;4;1;1;1;7;8;7;1;2;5;3;5;1;2;1;2;1;2;3;2;0,83
510;2;6;1;4;1;3;17;5;1;2;2;2;6;2;2;2;7;2;1;4;2;0,63
511;1;2;4;3;2;4;9;6;1;2;5;5;8;5;2;1;2;2;3;2;3;0,23
512;1;4;4;6;1;5;12;5;1;1;1;1;6;4;2;1;3;2;2;3;2;0,47
513;1;2;2;6;2;6;10;2;1;1;1;2;5;3;2;1;2;2;3;2;2;0,73
514;2;4;1;3;1;5;16;4;1;2;3;4;6;2;1;2;6;;2;3;2;0,52
515;1;3;1;3;1;2;10;7;1;3;2;3;5;3;3;1;2;2;2;3;2;2,14
516;1;5;2;2;1;5;16;3;1;1;1;1;6;1;5;2;6;;1;4;2;1,47
517;1;5;3;3;2;3;10;4;1;1;5;5;6;3;2;1;2;2;3;4;2;0,18
518;1;4;5;6;1;5;10;2;3;1;1;2;2;4;2;1;2;2;2;3;1;1,56
519;2;6;2;2;1;6;17;2;1;1;2;4;6;3;2;2;7;1;2;4;2;1,68
520;1;6;2;6;1;6;17;5;1;1;1;3;8;3;2;2;7;2;1;5;3;0,54
521;1;4;4;5;1;4;10;6;1;1;5;5;2;3;3;1;2;2;2;3;1;2,71
522;2;5;3;1;1;5;10;7;1;2;5;5;10;1;4;1;2;2;2;3;;0,45
523;2;6;3;6;1;5;10;4;1;1;2;3;5;4;3;1;2;2;2;4;2;0,71
524;1;6;3;1;1;6;17;4;1;1;1;3;5;1;3;2;7;2;2;5;2;0,71
525;2;6;4;2;2;5;8;3;1;1;3;3;3;1;2;1;2;1;3;4;1;0,39
526;1;5;1;3;1;5;1;3;1;1;1;5;3;3;2;1;1;;1;4;1;2,14
527;2;2;1;3;2;5;10;2;1;1;2;4;3;3;3;1;2;1;3;2;1;0,38
528;2;5;5;4;2;5;10;1;1;1;2;3;7;3;2;1;2;1;3;4;2;0,52
529;1;4;5;3;1;6;2;6;1;1;3;4;6;3;2;1;1;;2;3;2;1,08
530;2;2;1;3;1;6;10;5;1;2;2;4;5;2;2;1;2;2;2;2;2;0,4
531;2;6;3;6;1;3;8;5;1;1;1;1;3;3;3;1;2;1;2;4;1;0,71
532;1;3;3;3;1;5;10;6;1;1;2;2;6;5;2;1;2;2;2;2;2;0,66
533;1;5;3;6;1;5;17;2;1;2;4;5;7;3;2;2;7;1;2;4;2;1,19
534;1;3;3;4;2;5;9;6;1;3;1;1;3;5;2;1;2;1;3;2;1;0,22
535;2;6;3;2;1;7;17;2;1;1;5;5;3;1;4;2;7;2;1;4;1;1,57
536;2;4;1;6;1;5;10;2;1;1;4;4;3;3;3;1;2;2;2;3;1;0,5
537;2;6;1;4;2;6;1;3;1;2;4;4;8;5;3;1;1;;3;4;3;0,21
538;2;6;1;6;1;6;17;4;1;1;3;3;6;3;2;2;7;1;2;5;2;0,63
539;1;6;4;1;1;10;17;4;1;3;5;4;3;5;2;2;7;1;2;4;1;0,72
540;1;6;4;4;1;6;17;4;1;1;2;3;4;3;3;2;7;1;2;4;1;0,72
541;2;6;1;6;2;3;5;5;1;1;3;3;10;4;4;1;1;;3;4;;0,21
542;1;6;2;3;1;10;17;4;1;1;4;4;6;5;2;2;7;2;2;4;2;0,82
543;1;6;3;2;1;6;20;1;1;3;5;5;7;1;2;2;4;;2;4;2;0,95
544;2;5;4;6;1;5;16;6;1;1;1;1;3;3;2;2;6;;1;4;1;0,54
545;1;5;3;6;1;5;1;4;1;1;1;3;5;4;2;1;1;;2;4;2;0,54
546;2;6;1;1;1;5;16;4;1;2;3;3;10;1;3;2;6;;2;5;;0,63
547;2;5;1;6;1;5;7;4;1;3;5;5;2;4;2;1;2;1;1;4;1;0,61
548;1;5;5;3;1;5;10;3;1;1;2;4;3;3;3;1;2;1;2;4;1;0,91
549;1;5;1;4;1;5;10;6;1;3;2;4;4;3;2;1;2;2;2;3;1;0,91
550;1;6;1;3;1;6;17;7;1;3;2;4;6;3;4;2;7;2;1;4;2;2,84
551;1;4;1;3;1;5;10;6;1;1;2;4;6;3;3;1;2;2;2;3;2;0,63
552;2;2;1;6;2;6;9;6;1;2;4;3;8;4;3;1;2;2;3;2;3;0,66
553;2;6;4;4;1;5;17;4;1;2;3;4;4;3;3;2;7;2;2;4;1;0,53
554;1;4;3;2;1;5;11;2;1;1;3;3;7;1;3;1;2;1;2;3;2;1,76
555;1;3;4;3;1;6;12;5;1;3;2;5;6;3;2;1;3;2;2;2;2;0,55
556;1;6;1;6;1;5;17;2;1;2;4;4;6;3;3;2;7;2;2;5;2;2,84
557;1;6;5;4;1;7;17;6;1;3;2;3;6;5;3;2;7;1;2;4;2;1,4
558;1;6;4;1;1;6;17;3;1;1;2;4;5;5;2;2;7;1;1;4;2;0,72
559;2;6;1;4;2;6;17;6;1;3;4;4;7;5;3;2;7;1;3;4;2;0,46
560;2;6;1;6;2;5;17;2;1;2;4;4;3;4;3;2;7;2;3;4;1;0,46
561;1;6;4;3;2;6;17;4;1;1;3;3;3;5;3;2;7;2;3;4;1;0,24
562;2;5;2;5;2;6;4;4;3;3;2;2;7;3;1;1;1;;3;4;2;0,22
563;2;6;3;6;2;6;17;5;1;1;4;4;9;4;2;2;7;1;3;4;4;0,24
564;1;6;4;3;1;6;17;4;1;2;3;2;7;2;2;2;7;1;1;5;2;0,68
565;1;3;1;2;2;6;11;5;1;2;1;1;6;1;2;1;2;2;3;2;2;0,51
566;2;4;4;4;2;5;11;4;1;1;2;2;7;5;4;1;2;2;3;3;2;0,77
567;2;5;2;2;2;5;5;4;3;1;1;1;6;3;5;1;1;;3;4;2;0,14
568;2;6;2;3;1;6;17;4;1;1;4;4;10;2;3;2;7;2;1;4;;1,2
569;1;5;1;2;1;6;17;6;1;2;1;1;6;1;3;2;7;2;1;4;2;0,91
570;2;3;1;4;1;2;12;5;1;1;2;2;3;2;2;1;3;2;1;3;1;0,58
571;2;6;2;3;1;5;17;4;1;1;2;3;6;2;3;2;7;2;1;4;2;0,48
572;1;6;3;2;1;6;17;4;1;1;5;5;3;1;2;2;7;2;1;4;1;0,67
573;1;4;1;6;1;5;10;2;1;2;4;4;7;4;2;1;2;2;1;3;2;0,63
